ax,ay,az,gx,gy,gz,class_label
-0.076372,-0.251808,1.674084,18.3925,-8.7675,3.36,1
-0.155184,0.044896,0.486292,21.49,12.775,6.8425,1
-0.088816,0.207888,0.490196,12.495,13.0725,2.5375,1
-0.171044,0.446032,0.313052,-27.2125,14.1225,-5.5825,1
0.061732,0.186172,0.637084,-25.8475,3.8325,-6.405,1
0.035624,-0.153964,0.545584,-28.945,2.45,-6.02,1
0.08296,-0.33306,0.830088,-0.0875,-1.155,-1.75,1
0.245708,-0.244488,1.9093,-7.8925,-16.4675,-0.3675,1
-0.005368,-0.276208,1.84708,34.86,-14.4025,7.2275,1
-0.102724,-0.179828,1.02968,17.815,4.4275,4.6375,1
-0.047336,0.310124,0.83814,34.86,7.0525,7.6825,1
-0.114924,0.121024,0.82228,-13.1075,7.84,-2.6775,1
-0.113216,0.364048,0.22204,-9.2925,13.1775,-1.3825,1
-0.02074,-0.050264,0.366,-21.91,10.7625,-4.5325,1
-0.026352,0.043188,0.227164,-19.8275,11.3925,-3.57,1
0.256688,-0.127124,1.602836,-23.66,-14.98,-5.495,1
0.2379,-0.226676,1.505724,-13.2825,-14.9975,-1.9425,1
0.299388,-0.476288,1.83732,23.52,-16.8525,2.66,1
0.017324,-0.177144,1.387384,22.96,-3.4825,4.4975,1
-0.001708,-0.060024,1.382748,26.4075,-2.2575,3.71,1
-0.038308,0.093452,1.17364,4.7075,0.735,3.64,1
-0.101992,0.048556,0.253516,8.4525,2.3275,1.54,1
-0.223504,0.197152,0.284992,-3.1675,14.6825,1.8025,1
-0.09516,0.17934,0.229604,-23.625,14.945,-5.145,1
0.194712,0.249124,0.916464,-35.2975,13.65,-6.965,1
0.088084,0.114192,0.9943,-21.035,-6.58,-4.76,1
0.217404,-0.416996,1.192428,1.12,-10.2025,-0.315,1
0.191052,-0.367708,1.698972,20.09,-10.675,2.8175,1
0.128588,-0.363072,1.850252,7.105,-11.4975,0.9625,1
-0.148596,0.000488,0.606096,26.1975,11.1825,7.2975,1
-0.085644,0.156892,0.59658,16.45,11.1475,3.2725,1
-0.139568,0.464576,0.422608,-23.4675,13.1775,-4.1125,1
0.03904,0.199348,0.525332,-22.6275,13.23,-5.8275,1
-0.015128,0.45872,0.411384,-27.58,5.6875,-5.635,1
0.090036,-0.276696,0.691008,-6.1425,2.5025,-2.975,1
0.283284,-0.181536,1.842444,-12.985,1.2075,-1.2775,1
0.188368,-0.358436,1.819508,1.19,-15.435,-1.7675,1
0.228384,-0.198616,1.914912,16.87,-15.575,4.41,1
-0.013176,-0.28426,0.997472,35.21,-14.525,7.3325,1
-0.112972,-0.153232,0.962824,18.4275,5.25,4.9525,1
-0.070028,0.319152,0.811056,-2.9575,7.9975,0.14,1
-0.042944,0.178608,0.340624,-16.3975,8.855,-3.325,1
-0.088084,0.363804,0.215696,-10.9725,13.16,-2.24,1
-0.047824,-0.055876,0.371124,-27.7375,9.975,-4.9175,1
0.200324,0.010492,1.307108,-18.2525,10.4125,-2.975,1
0.28426,-0.152988,1.680916,-22.8725,-15.6975,-5.3725,1
0.244976,-0.22692,1.547204,20.755,-15.47,-1.61,1
0.050752,-0.475556,1.907592,23.8,-17.2025,2.87,1
-0.004148,-0.175192,1.334924,25.0775,-2.52,4.9875,1
-0.016592,-0.044408,1.322724,15.1025,-0.98,3.6925,1
0.304512,-0.207156,1.905884,-19.25,2.6775,-4.2175,1
0.246196,-0.234972,1.72508,-1.12,-16.135,-0.2625,1
0.304268,-0.428952,2.019832,22.96,-17.4825,3.5525,1
-0.026108,-0.153232,1.126792,30.485,-15.7675,6.16,1
-0.051484,-0.355264,1.158512,23.31,2.3275,3.885,1
-0.061244,0.249612,0.912072,-2.38,5.425,1.715,1
-0.049532,0.048068,0.283772,-3.9025,6.1075,-1.4,1
-0.159576,0.370392,0.215452,-11.305,13.405,-0.63,1
-0.04636,0.045384,0.352336,-21.3675,12.565,-5.32,1
0.209352,0.1159,1.168028,-29.4,11.62,-5.6525,1
0.160308,-0.080032,1.363472,-17.465,-11.2525,-4.69,1
0.21838,-0.297436,1.491572,7.4725,-13.5275,-4.2175,1
0.088328,-0.377224,1.579412,27.1425,-14.49,4.0075,1
0.03538,-0.26352,1.567456,12.7575,-6.65,3.1325,1
0.021228,0.0427,1.375672,20.9125,-3.2025,5.25,1
-0.12078,-0.104188,1.334924,6.825,-2.5375,1.925,1
-0.149328,0.114192,0.265228,13.09,14.49,4.55,1
-0.097112,0.184464,0.368928,-31.15,14.3325,0.0875,1
0.068564,0.377468,0.188856,-27.5275,15.33,-5.67,1
0.130784,0.12566,0.909388,-31.64,-4.235,-7.3675,1
0.13298,-0.263276,0.79788,0.63,-4.655,-5.3725,1
0.229604,-0.468724,1.174128,8.1725,-8.855,-0.665,1
0.191296,-0.30134,1.824876,8.995,-13.265,2.3275,1
0.182268,-0.290848,1.845372,14.455,-12.425,0.6825,1
-0.148596,-0.0488,1.686528,18.9175,-9.9925,5.635,1
-0.125416,-0.21716,0.615856,27.405,11.445,5.5825,1
-0.175192,0.334036,0.570716,15.3825,12.3375,5.285,1
-0.144692,0.36356,0.458964,-18.235,13.79,-4.2,1
-0.010004,0.360144,0.426268,-31.8325,6.615,-5.915,1
0.012444,-0.176656,0.437492,-22.4,6.125,-5.18,1
0.0549,-0.23546,0.556808,-17.5875,1.9075,-3.8675,1
0.244488,-0.24522,1.722396,0.875,-15.9425,-0.105,1
0.293288,-0.40138,2.030812,-11.235,-17.2725,-2.4675,1
0.248392,-0.147864,1.774368,30.73,-15.19,6.545,1
-0.0427,-0.339892,1.114348,23.065,3.115,3.885,1
-0.073688,0.279624,0.896212,31.675,5.775,7.7525,1
-0.032452,0.048556,0.887916,-5.4425,6.7025,-1.5225,1
-0.138348,0.4087,0.20008,-12.7925,9.695,-1.19,1
-0.0427,0.096136,0.370148,-14.0175,12.705,-3.5,1
-0.074664,0.096136,0.241804,-28.9625,11.095,-5.32,1
0.177144,-0.108824,1.415444,-16.9225,9.52,-4.725,1
0.2257,-0.020008,1.512068,-23.1525,-13.79,-3.955,1
0.203252,-0.37942,1.62748,28.3325,-14.5775,4.235,1
0.00366,-0.262544,1.537932,12.7575,-15.8375,3.5525,1
0.02318,-0.352092,1.335656,33.005,-2.7825,5.5475,1
-0.073444,-0.071492,1.30052,5.495,-1.4175,1.645,1
-0.157624,0.124684,0.26474,11.9,1.2775,4.165,1
-0.083448,0.041968,0.355508,-2.205,14.2975,-0.315,1
-0.165432,0.343308,0.193004,-26.6,14.91,1.61,1
0.135664,0.122976,0.324032,-32.9875,13.37,-7.42,1
0.15616,0.233508,0.851804,-24.5525,-5.88,-4.6375,1
0.197884,-0.449204,1.197552,7.6125,-9.4675,-7.0175,1
0.188124,-0.299876,1.133624,10.8675,-10.43,2.2225,1
0.153232,-0.466528,1.834148,14.245,-11.6025,1.05,1
0.096136,-0.025376,1.639924,19.425,-9.1175,3.6925,1
-0.115656,-0.229604,0.588284,25.1125,11.725,5.1275,1
-0.183976,0.358924,0.517524,-26.46,12.7925,-4.6025,1
0.000976,0.343064,0.354044,-19.565,14.0175,-4.62,1
-0.001464,0.375272,0.43676,-31.605,5.95,-6.055,1
0.020008,-0.206424,0.490684,-5.9675,5.0925,-5.425,1
0.310124,-0.221552,0.60146,-18.025,1.4525,-3.6925,1
0.236192,-0.263032,1.741672,1.82,-15.61,-0.21,1
0.277184,-0.376248,2.019344,20.37,-16.8525,-2.0825,1
-0.02196,-0.172264,1.784616,32.7775,-14.945,7.0175,1
-0.055876,-0.303048,1.070184,20.9825,3.64,3.92,1
0.130296,-0.284748,0.749812,-10.92,-2.24,-1.4525,1
0.20618,-0.346968,1.775832,8.8025,-4.41,0.21,1
0.172508,-0.3294,1.978108,-3.5175,-15.015,0.4375,1
0.201056,-0.173484,1.733864,33.845,-12.8975,8.33,1
-0.067588,-0.199104,0.839604,18.025,-12.74,4.1125,1
-0.117852,-0.130296,0.693936,31.78,9.765,8.33,1
-0.063196,0.123708,0.634888,-17.6575,10.4475,-4.235,1
-0.045384,0.084668,0.246928,-17.535,11.0075,-3.4125,1
-0.00366,-0.156892,0.497516,-19.9675,8.26,-5.495,1
0.214964,-0.07686,1.500112,-18.2175,7.8925,-2.8525,1
0.267912,-0.28426,1.757776,-13.4575,-16.2575,-4.095,1
0.277428,-0.212768,1.72264,18.6375,-16.38,4.165,1
0.009516,-0.410164,1.362496,30.8525,-17.08,4.3575,1
-0.042456,-0.182756,1.245864,21.9625,-0.2275,4.9525,1
-0.01586,0.0732,1.153144,11.795,1.855,3.01,1
-0.18178,0.139568,0.318176,-3.815,4.0075,0.98,1
-0.147864,0.152012,0.195444,2.45,15.6975,0.7175,1
-0.160796,0.216916,0.27694,-36.225,13.8775,-7.4375,1
0.114436,0.189588,0.886208,-22.26,14.595,-4.6725,1
0.208864,0.0976,1.196576,-34.4575,-10.115,-7.14,1
0.1708,-0.320372,1.155828,15.8375,-10.5,-3.675,1
0.151524,-0.450668,1.885388,10.0275,-14,0.7175,1
0.1098,-0.296704,1.602836,22.8025,-8.89,3.885,1
0.102724,-0.249856,1.691408,21.63,-8.505,2.0125,1
-0.1769,0.049044,1.42862,19.005,-5.32,6.4225,1
-0.096136,-0.193248,0.480192,15.33,13.3,2.7825,1
-0.185928,0.426756,0.344772,-29.47,14.0175,5.3375,1
0.046604,0.214964,0.375516,-23.8525,14.5775,-5.8275,1
0.05612,0.424804,0.5368,-32.1825,2.1,-6.615,1
0.049044,-0.310856,0.783972,1.4875,-0.3675,-6.3875,1
0.257908,-0.27816,0.75762,-10.4825,-2.5025,-1.2075,1
0.212036,-0.356972,1.805356,8.5575,-14.665,-0.1575,1
0.169092,-0.245464,1.963956,18.83,-15.155,0.56,1
-0.056608,-0.20252,1.745332,34.685,-12.845,8.33,1
-0.077348,0.068076,0.828136,-10.605,7.7,4.34,1
-0.131028,0.414068,0.665876,-10.5875,10.3425,-1.2075,1
-0.003172,0.145668,0.393572,-19.4075,11.1825,-4.55,1
-0.04758,0.061,0.248148,-22.8025,10.815,-3.745,1
0.226432,-0.15494,0.468724,-20.615,8.2075,-5.1625,1
0.24766,-0.086864,1.53232,-17.0975,-14.735,-2.5725,1
0.275232,-0.44896,1.788764,27.44,-16.8175,-4.06,1
0.00732,-0.193004,1.742404,19.46,-16.2925,4.1125,1
0.008296,-0.41358,1.3664,30.275,-1.8375,4.2875,1
-0.038308,0.047092,1.203164,3.7625,0.0525,4.9525,1
-0.132248,0.069052,1.153876,11.1125,2.1175,2.5725,1
-0.194956,0.15128,0.324276,-4.5325,14.315,1.19,1
-0.132004,0.24766,0.191296,1.785,15.435,0.2975,1
-0.162016,0.222284,0.2806,-35.8925,13.8075,-7.49,1
0.109312,0.17812,0.919636,-22.3825,-6.23,-4.585,1
0.211548,-0.45506,1.208776,-34.0375,-10.43,-7.1225,1
0.160552,-0.337696,1.17974,17.5175,-10.7975,2.9575,1
0.14152,-0.43676,1.85684,9.8525,-11.5675,0.8575,1
0.097356,0.016348,1.58966,23.6075,-8.5225,4.27,1
0.091744,-0.255224,1.649928,20.51,-7.8925,3.9375,1
-0.1708,0.04636,0.468968,19.4775,13.02,6.37,1
-0.105896,0.257664,0.482388,14.5425,13.2825,2.8175,1
-0.175924,0.439444,0.322812,-29.925,14.0875,-5.7925,1
0.058316,0.210328,0.589504,-24.4125,14.7525,-6.23,1
0.050508,0.421876,0.561932,-31.6925,1.645,-6.58,1
0.064172,-0.33672,0.808616,2.31,-0.805,-1.1725,1
0.264496,-0.282308,1.97396,-9.275,-2.66,-0.805,1
0.212036,-0.369904,1.771928,9.59,-14.315,-0.105,1
0.161528,-0.218868,1.966884,18.235,-14.8925,4.1125,1
-0.061,-0.205448,0.823988,34.86,-12.775,8.645,1
-0.071492,0.071736,0.805932,-11.7775,8.05,-2.73,1
0.178364,-0.296216,1.935896,-0.2625,-14.8225,1.2425,1
0.192272,-0.25864,1.808284,35.2625,-13.0375,0.8925,1
-0.0976,-0.127368,1.80316,17.64,-11.76,4.76,1
-0.102968,0.370148,0.643916,-8.9775,10.7275,7.4025,1
-0.022936,0.213988,0.379176,-21.35,10.885,-4.8475,1
-0.038308,0.101016,0.270596,-21.14,11.025,-3.955,1
0.23668,-0.174948,1.600152,-23.4325,7.63,-5.95,1
0.225944,-0.269864,1.46766,18.1125,-14.5775,4.41,1
0.072224,-0.477508,1.570628,24.395,-6.2825,2.7825,1
-0.174948,-0.011956,1.392752,12.285,-3.64,4.655,1
-0.142008,-0.07564,0.378932,18.515,14.8575,3.85,1
-0.196176,0.345016,0.355508,-34.0725,14.1225,3.675,1
0.02318,0.305244,0.257664,-23.6775,15.8375,-5.565,1
0.100284,0.34282,0.677588,-36.9075,-0.4725,-7.49,1
0.045872,-0.25254,0.70516,-23.7475,-1.225,-5.285,1
0.172996,-0.406992,0.884744,-6.79,-5.4775,-1.9775,1
0.23912,-0.30134,1.779248,11.305,-14.8575,1.575,1
0.174948,-0.324764,2.031544,0.3675,-14.7,-0.35,1
0.20008,-0.055876,1.710196,29.1375,-12.1625,7.7,1
-0.040992,-0.263276,0.77592,21.7,8.4525,4.27,1
-0.165432,0.414312,0.640256,26.67,10.885,7.525,1
-0.071248,0.1647,0.608536,-16.415,11.06,-4.025,1
-0.047824,0.465796,0.271816,-23.0125,10.0275,-4.2175,1
0.01342,-0.155184,0.498248,-22.085,7.98,-5.6525,1
-0.022204,-0.08052,0.3843,-22.1725,6.37,-3.71,1
0.216184,-0.271572,1.68238,-6.895,3.5525,-3.0275,1
0.299876,-0.181536,1.84952,-14.6825,-16.7475,-2.0125,1
