ax,ay,az,gx,gy,gz,class_label
-0.169092,-0.459208,1.48596,19.3025,-24.4125,0.98,3
-0.240584,-0.14274,1.625284,19.46,-21.1925,6.125,3
-0.217648,-0.166408,1.43594,21.2625,-22.855,-6.5275,3
-0.20008,-0.029768,0.714432,17.325,14.875,0.665,3
-0.000244,0.344528,0.639524,14.6825,7.35,-7.4725,3
-0.13176,0.291824,0.581208,-24.5175,20.58,0.8925,3
0.284504,0.343796,0.575352,-38.08,12.32,-6.335,3
0.384056,-0.191296,0.644648,-28.315,20.9125,1.75,3
0.288896,-0.22692,0.725412,-10.255,8.365,0.7525,3
-0.077348,-0.316224,1.49816,4.2175,-18.3575,7.98,3
0.003416,-0.477508,1.62626,-0.63,-24.01,1.085,3
-0.154208,-0.408944,1.518656,38.22,-20.72,1.19,3
-0.269376,-0.376492,1.164612,26.5825,-26.0575,-0.91,3
-0.192028,-0.295972,0.945744,35.175,-0.4375,0.5075,3
-0.205936,0.306952,0.979416,-20.265,-4.025,-4.48,3
0.2745,0.3416,0.39528,-14.9975,8.6625,-4.935,3
0.146888,0.336232,0.45628,-28.6125,19.2675,-4.7075,3
0.333304,0.062952,0.456768,-24.955,25.6375,-1.33,3
0.166164,-0.085888,1.35542,-20.825,16.205,5.0575,3
0.082472,-0.06466,1.294908,-15.9075,-11.9175,-0.3675,3
0.068808,-0.4941,1.496208,31.3075,-12.775,8.645,3
-0.17812,-0.532896,1.359568,27.58,-17.9375,-2.5725,3
-0.32452,-0.4392,1.259772,33.5475,-7.84,7.14,3
-0.191052,0.150304,1.220244,-5.9325,-16.3975,-3.7975,3
0.133956,0.169824,0.427244,3.1675,-1.6625,-0.5775,3
0.120048,0.260348,0.434808,-16.0125,16.6075,-7.5425,3
0.204472,0.16104,0.398452,-25.55,27.195,-0.5425,3
0.27084,0.140544,0.4209,-34.3175,17.5,-1.54,3
0.238388,0.059292,1.118984,-21.2625,0.035,3.29,3
0.22082,-0.51606,1.275876,16.6075,-7.5425,-0.4375,3
-0.230824,-0.4941,1.267824,26.425,-6.195,2.555,3
-0.222284,-0.570716,1.652124,23.2575,-23.2575,4.445,3
-0.25864,-0.07198,1.386164,19.8625,-20.37,2.1175,3
-0.1952,0.05856,1.564528,10.885,-20.58,-0.525,3
0.03538,0.042944,0.554124,12.1275,12.005,-7.56,3
-0.106384,0.287676,0.506544,2.1175,22.82,-1.5575,3
0.302804,0.343796,0.443104,-38.71,17.01,-5.5125,3
0.342576,0.244976,0.77104,-31.4475,16.135,1.435,3
0.293776,-0.296216,0.811056,-38.8675,7.8225,-4.3575,3
-0.096136,-0.384788,1.526952,9.3275,-19.81,8.8025,3
-0.080276,-0.461648,1.602104,28.595,-25.41,0.8225,3
-0.22204,-0.333792,1.571116,36.8375,-21.0875,2.4325,3
-0.206424,-0.330864,1.06628,24.745,-8.4875,-3.29,3
-0.171776,0.345016,0.851072,-10.815,7.2275,2.0125,3
0.110044,0.325984,0.886452,-27.1425,-3.64,-5.74,3
-0.145668,-0.485316,1.534516,15.26,-26.845,-0.07,3
-0.181536,-0.237168,0.842288,33.5475,8.6975,3.64,3
-0.123952,0.3172,0.849608,17.1675,-3.64,-5.8975,3
-0.091012,0.351604,0.681492,-16.2925,15.0675,-2.205,3
0.24522,0.328668,0.551196,-33.04,5.215,-5.4075,3
0.329644,0.307196,0.552416,-22.4525,20.3875,-1.1725,3
0.307928,-0.17934,0.703452,-14.1225,13.09,4.1125,3
-0.003416,-0.197396,1.375428,-5.04,15.435,2.1525,3
0.001952,-0.321836,1.60674,-4.2525,-17.92,4.8825,3
-0.08296,-0.444324,1.444968,31.535,-20.7025,-3.3425,3
-0.344772,-0.326716,1.209752,28.6125,-22.47,4.3575,3
-0.184952,-0.375516,1.070916,32.165,-10.36,-4.5325,3
-0.314516,0.265716,1.046516,-7.315,-0.07,-0.7,3
0.17446,0.266936,0.379176,-18.025,-3.2375,-7.8225,3
0.205204,0.300364,0.345748,-15.68,30.975,-0.5775,3
0.237168,0.164212,0.390644,-35.0175,17.8325,-7.455,3
0.237412,0.00244,0.41358,-19.8625,28.84,5.6525,3
0.171532,0.05856,1.300764,-28.4375,-11.4975,-1.575,3
-0.256688,-0.560956,1.441552,32.3225,-8.295,5.88,3
-0.2013,-0.586332,1.599908,25.0075,-23.975,1.5925,3
-0.291336,0.004392,1.363472,19.6175,-17.465,-4.4975,3
-0.145912,0.055876,0.620004,5.6175,-20.8075,-3.605,3
0.078324,0.133956,0.475068,11.7775,20.6675,-4.5325,3
-0.05612,0.306464,0.522404,-35.63,15.8025,-1.1025,3
0.324276,0.31476,0.752496,-32.865,25.9,-3.745,3
0.280112,0.228384,0.864248,-36.61,8.1725,-0.28,3
-0.041724,-0.325984,1.487668,1.995,8.995,0.2275,3
-0.138104,-0.415532,1.596492,9.4675,-19.145,8.995,3
-0.114924,-0.367464,1.51646,25.165,-25.9175,-4.6375,3
-0.209352,-0.26718,0.9211,34.1075,-18.2175,4.4975,3
-0.130784,-0.232288,0.896212,19.2675,-4.795,-5.53,3
-0.143472,0.30378,0.743956,-13.3,12.145,-1.61,3
0.2257,0.335012,0.52704,-31.5875,3.255,-6.195,3
0.330132,0.30378,0.509716,-20.475,21.945,-0.6825,3
0.268156,-0.149084,0.630984,-17.955,14.0525,-5.4075,3
0.008052,-0.136884,1.342,-8.0325,18.1475,3.08,3
0.060756,-0.463112,1.576484,28.385,-17.535,5.81,3
-0.18666,-0.498004,1.275876,33.46,-18.515,-2.2925,3
-0.35136,-0.396256,1.305644,28.9275,-10.1325,4.2525,3
-0.192516,0.159332,1.151192,-4.2875,-12.1625,-8.2075,3
0.058316,0.257908,0.383568,-5.4425,-4.375,-0.77,3
0.159576,0.233752,0.376736,-13.1425,18.2525,-8.1725,3
0.124684,0.125904,0.35014,-26.915,30.3625,3.99,3
0.258884,0.232532,1.048956,-38.1325,19.5125,-3.0975,3
0.264008,0.043676,1.158268,-23.275,1.575,5.075,3
0.200568,-0.567788,1.202676,16.6425,-8.155,-2.1,3
-0.25498,-0.537288,1.302472,29.155,-5.8975,7.2625,3
-0.1586,-0.586576,1.623332,23.52,-25.6025,1.3475,3
-0.293532,-0.061976,1.409344,24.815,-18.9,7.0525,3
-0.165188,-0.011224,0.68076,9.73,8.785,-4.06,3
0.049288,0.355508,0.538752,-29.1725,19.145,-4.9175,3
0.268644,0.336232,0.6222,-35.77,12.18,-2.5025,3
0.328424,0.327448,0.664656,-30.765,18.06,-3.71,3
0.268156,-0.316468,0.795684,-4.445,9.8525,7.945,3
-0.010248,-0.27816,1.464732,-1.4175,12.11,0.2275,3
-0.109312,-0.386984,1.600396,5.0575,-18.2,8.6275,3
-0.109068,-0.422608,1.49572,26.7225,-24.64,-0.0525,3
-0.249856,-0.297924,0.980148,34.0025,2.275,5.04,3
-0.143716,0.290848,0.952088,-21.1575,-6.615,-7.105,3
0.262544,0.283772,0.400648,-10.4475,9.7475,-1.12,3
0.20496,0.340136,0.478484,-29.3475,17.465,-6.615,3
0.33306,0.026108,0.475312,-19.88,24.3775,2.1875,3
0.193248,-0.077104,1.416908,-22.225,15.4175,1.5925,3
0.051728,-0.109312,1.279292,-10.885,-11.235,4.0075,3
0.138104,-0.49166,1.54208,25.6375,-16.6775,2.24,3
0.244488,0.355508,0.508008,-36.2775,14.6825,-6.825,3
0.36722,-0.109312,0.560712,-25.62,24.2375,1.015,3
0.28182,-0.17202,0.627324,-16.1525,10.64,0.945,3
-0.005856,-0.232044,1.433012,-1.5225,-14.49,7,3
0.044164,-0.507764,1.585756,-6.58,-22.925,1.54,3
-0.091744,-0.464576,1.51768,37.695,-19.0575,0.3675,3
-0.289872,-0.417484,1.312476,28.1575,-25.1125,1.0325,3
-0.20862,-0.382836,1.043588,37.6075,-6.8425,-0.49,3
-0.267912,0.283772,1.127036,-12.32,-6.16,-2.9575,3
0.225456,0.283284,0.375516,-11.0425,0.6475,-6.5275,3
0.1159,0.32208,0.396256,-21.21,24.1675,-3.78,3
0.282796,0.176656,0.397232,-32.2,25.515,-2.3975,3
0.212768,0.00488,1.23586,-26.0925,20.545,4.2,3
0.160064,0.057096,1.226832,-25.06,-6.405,-1.365,3
0.133956,-0.526308,1.36884,28.6475,-9.2575,9.0825,3
-0.182512,-0.545096,1.45668,24.5525,-12.7225,-1.1025,3
-0.284992,-0.497028,1.407148,32.4975,-13.0725,8.61,3
-0.202764,0.018788,1.336144,3.325,-22.96,-2.45,3
0.065392,0.095404,1.251476,13.86,-7.0875,0.0875,3
0.03782,0.16226,0.530944,-6.685,12.355,-7.21,3
0.151768,0.239852,0.416752,-27.2125,26.0575,-0.805,3
0.300364,0.2196,0.459208,-36.4875,16.275,-2.03,3
0.274012,0.16104,0.963556,-25.83,4.8825,0.9275,3
0.27816,-0.435052,1.164856,9.45,-0.7,-0.84,3
-0.163236,-0.465064,1.104588,18.6025,-1.2425,1.33,3
-0.2196,-0.502152,1.64334,17.6225,-21.63,6.1775,3
-0.219356,-0.2013,1.447164,23.345,-23.275,1.3475,3
-0.216184,-0.041968,1.601372,18.935,-21.14,1.1375,3
-0.018056,-0.065148,0.673684,16.94,6.16,-7.245,3
